component_type,vendor,category,model,capacity_gb,vram_gb,source_count,sources,min_price_eur,median_price_eur,max_price_eur,latest_observed_at
cpu,intel,Core i5,Intel Core i5-14600KF (3.5 GHz / 5.3 GHz) - Versión tray,,,1,LDLC España,261,261,261,2026-08-15
cpu,amd,Ryzen 7,"AMD Ryzen 7 5700G Wraith Stealth (3,8 GHz / 4,6 GHz)",,,1,LDLC España,224,224,224,2026-08-15
ram,memory,DDR5,Corsair Vengeance DDR5 16 GB (2 x 8 GB) 5200 MHz CL40 - Negro,16,,1,LDLC España,249,249,249,2026-08-15
gpu,nvidia,RTX 5060,MSI GeForce RTX 5060 8G VENTUS 2X OC,,,1,LDLC España,470,470,470,2026-08-15
gpu,nvidia,RTX 5070,Gigabyte GeForce RTX 5070 EAGLE OC SFF 12G,,,1,LDLC España,671,671,671,2026-08-15
gpu,nvidia,RTX 5070,Gigabyte GeForce RTX 5070 GAMING OC 12G,,,1,LDLC España,690,690,690,2026-08-15
gpu,nvidia,RTX 5070,ASUS Dual GeForce RTX 5070 12GB GDDR7 OC Edition,,,1,LDLC España,806,806,806,2026-08-15
gpu,nvidia,RTX 5070 TI,ASUS PRIME GeForce RTX 5070 Ti 16GB GDDR7 OC Edition,,,1,LDLC España,286,286,286,2026-08-15
gpu,nvidia,RTX 5060 TI,ASUS Dual GeForce RTX 5060 Ti OC Edition 16GB,,,1,LDLC España,786,786,786,2026-08-15
gpu,nvidia,RTX 5060,ASUS Dual GeForce RTX 5060 OC Edition 8GB,,,1,LDLC España,470,470,470,2026-08-15
gpu,nvidia,RTX 5060,ASUS PRIME GeForce RTX 5060 OC Edition 8GB,,,1,LDLC España,498,498,498,2026-08-15
gpu,nvidia,RTX 3050,ASUS DUAL GeForce RTX 3050 OC O6G,,,1,LDLC España,234,234,234,2026-08-15
gpu,nvidia,RTX 5060 TI,ASUS Dual GeForce RTX 5060 Ti OC Edition 8GB,,,1,LDLC España,546,546,546,2026-08-15
gpu,nvidia,RTX 5050,Gigabyte GeForce RTX 5050 WINDFORCE OC 8G,,,1,LDLC España,306,306,306,2026-08-15
gpu,nvidia,RTX 5070 TI,Gigabyte GeForce RTX 5070 Ti WINDFORCE OC SFF 16G,,,1,LDLC España,276,276,276,2026-08-15
gpu,nvidia,RTX 5070,ASUS PRIME GeForce RTX 5070 12GB GDDR7 OC Edition,,,1,LDLC España,815,815,815,2026-08-15
gpu,nvidia,RTX 5050,ASUS Dual GeForce RTX 5050 8GB,,,1,LDLC España,326,326,326,2026-08-15
gpu,nvidia,RTX 3060,Gainward GeForce RTX 3060 Python II OC,,,1,LDLC España,431,431,431,2026-08-15
cpu,amd,Ryzen 7,Procesador - AMD Ryzen 7 5800X3D,,,1,MediaMarkt España,440,440,440,2026-08-15
cpu,amd,Ryzen 7,Procesador - AMD Ryzen 7 5700X,,,1,MediaMarkt España,169,169,169,2026-08-15
cpu,intel,Core i9,Intel Core i9-14900KF,,,1,MediaMarkt España,510,510,510,2026-08-15
cpu,intel,Core i5,Procesador - INTEL Intel - Core i5-14400 procesador 20 MB Smart Cache Caja,,,1,MediaMarkt España,216,216,216,2026-08-15
ram,memory,DDR4,Memoria RAM - CORSAIR CMK8GX5M1B5200C40,16,,1,MediaMarkt España,174,174,174,2026-08-15
ram,memory,DDR5,Memoria RAM - XPG CASTER DDR5,16,,1,MediaMarkt España,263,263,263,2026-08-15
ram,memory,DDR4,Memoria RAM - SILICON POWER DDR4 8GB PC 3200 CL16 Silicon-Power (1x8GB) Pulse/U-DIMM Módulos de memoria multimedia,8,,1,MediaMarkt España,78,78,78,2026-08-15
ram,memory,DDR4,Memoria RAM - QNAP QNAP RAM-16GDR4ECT0-RD-2400 módulo de memoria 16 GB 1 x 16 GB DDR4 2400 MHz ECC,16,,1,MediaMarkt España,3421,3421,3421,2026-08-15
